,school,sex,age,address,family_size,parent_status,mothers_education,fathers_education,mothers_job,fathers_job,reason,guardian,traveltime,studytime,failures,extra_support,family_support,extra_classes,activities,nursery,higher_education,internet,romantic,family_relation,freetime,out_with_friends,daily_alcohol_cons,weekend_alcohol_cons,health,absences,first_grade,second_grade,final_grade
0,Gabriel Pereira,Female,18,Urban,4 or more,Apart,higher,higher,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,good,normal,high,very low,very low,normal,4,0,11,11
1,Gabriel Pereira,Female,17,Urban,4 or more,Together,primary,primary,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,excellent,normal,normal,very low,very low,normal,2,9,11,11
2,Gabriel Pereira,Female,15,Urban,3 or less,Together,primary,primary,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,good,normal,low,low,normal,normal,6,12,13,12
3,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,5th - 9th,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,normal,low,low,very low,very low,excellent,0,14,14,14
4,Gabriel Pereira,Female,16,Urban,4 or more,Together,secondary,secondary,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,good,normal,low,very low,low,excellent,0,11,13,13
5,Gabriel Pereira,Male,16,Urban,3 or less,Together,higher,secondary,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,low,very low,low,excellent,6,12,12,13
6,Gabriel Pereira,Male,16,Urban,3 or less,Together,5th - 9th,5th - 9th,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,good,high,high,very low,very low,normal,0,13,12,13
7,Gabriel Pereira,Female,17,Urban,4 or more,Apart,higher,higher,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,good,very low,high,very low,very low,very bad,2,10,13,13
8,Gabriel Pereira,Male,15,Urban,3 or less,Apart,secondary,5th - 9th,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,good,low,low,very low,very low,very bad,0,15,16,17
9,Gabriel Pereira,Male,15,Urban,4 or more,Together,secondary,higher,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,excellent,very high,very low,very low,very low,excellent,0,12,12,13
10,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,higher,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,normal,normal,normal,very low,low,bad,2,14,14,14
11,Gabriel Pereira,Female,15,Urban,4 or more,Together,5th - 9th,primary,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,excellent,low,low,very low,very low,good,0,10,12,13
12,Gabriel Pereira,Male,15,Urban,3 or less,Together,higher,higher,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,good,normal,normal,very low,normal,excellent,0,12,13,12
13,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,secondary,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,excellent,high,normal,very low,low,normal,0,12,12,13
14,Gabriel Pereira,Male,15,Urban,4 or more,Apart,5th - 9th,5th - 9th,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,good,very high,low,very low,very low,normal,0,14,14,15
15,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,higher,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,good,high,high,very low,low,bad,6,17,17,17
16,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,higher,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,normal,low,normal,very low,low,bad,10,13,13,14
17,Gabriel Pereira,Female,16,Urban,4 or more,Together,secondary,secondary,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,excellent,normal,low,very low,very low,good,2,13,14,14
